CYCLES;0xE1;0xE2;0xE7;0xE0;0x17;Ox12
4595160;294;31;197922;190816;14;690809 
4596331;347;48;198013;191725;9;690810 
4595613;431;22;198054;190927;8;690810 
4595280;440;31;197583;190966;4;690809 
4595259;319;39;197955;190885;6;690812 
4595311;372;60;197862;190855;5;690811 
4596803;406;26;199572;190821;5;690811 
4596266;390;28;198712;190855;5;690809 
4595493;323;49;197748;190996;8;690809 
4595199;525;31;197819;190792;12;690810 
4595090;380;23;197657;190819;5;690808 
4594872;321;9;197542;190756;3;690806 
4595326;399;4;197828;190793;8;690806 
4595685;380;16;198083;190864;9;690807 
4595188;410;26;197961;190716;7;690809 
4595621;492;31;197771;190956;6;690809 
4595446;454;24;197918;190849;8;690809 
4594730;383;31;197724;190700;8;690810 
4595748;472;35;198111;190964;5;690812 
4595343;332;38;197786;190964;5;690814 
4595408;460;39;198077;190872;13;690811 
4595369;547;32;197786;190851;6;690810 
4595361;503;21;197625;190939;8;690808 
4595402;421;24;197775;191004;5;690808 
4595235;421;25;197787;190853;16;690808 
4595372;312;17;197965;190854;8;690807 
4594923;233;4;197541;190823;4;690806 
4595017;210;9;197856;190742;7;690806 
4594995;209;9;197553;190847;3;690806 
4595279;416;27;197830;190824;5;690809 
4595146;274;23;197837;190927;4;690809 
4595674;301;31;198207;190898;16;690808 
4595533;383;25;197762;191004;7;690810 
4595070;361;27;197939;190817;6;690811 
4595330;353;38;197855;191014;5;690811 
4595128;427;45;197606;190915;4;690810 
4595358;614;21;197748;190837;6;690808 
4595557;411;51;197981;190922;9;690809 
4595112;546;33;197597;190831;6;690808 
4594935;336;20;197594;190795;4;690807 
4595399;345;5;197808;190859;5;690806 
4595103;352;15;197816;190791;5;690807 
4595556;318;9;197999;190842;6;690806 
4596396;381;30;198849;190919;7;690809 
4595578;405;58;197843;190996;5;690811 
4595435;346;30;198185;190855;8;690810 
4594802;269;23;197742;190691;9;690808 
4595494;385;51;197988;190941;6;690811 
4594747;551;31;197813;190723;5;690811 
4595499;567;26;197879;191006;6;690812 
4594964;280;21;197622;190892;4;690809 
4595168;295;16;197746;190933;6;690808 
4595355;390;30;197990;190955;6;690810 
4596607;431;50;197827;192244;6;690809 
4595000;405;8;197540;190765;5;690806 
4595419;319;9;197973;190808;14;690806 
4595108;295;17;197788;190833;9;690807 
4595396;371;23;197882;190911;4;690811 
4595404;448;53;197922;190821;7;690810 
4595055;411;22;197614;190799;5;690808 
4595277;377;35;197847;190880;7;690810 
4595198;380;30;197882;190938;5;690812 
4596448;499;41;198926;190949;7;690812 
4595637;379;207;197937;190958;9;690811 
4595672;541;34;197875;190922;7;690810 
4595004;337;47;197600;190843;5;690808 
4594999;433;35;197791;190740;10;690808 
4595211;274;27;197757;190862;7;690808 
4595623;426;21;197829;190962;7;690807 
4594923;226;9;197693;190746;7;690806 
4595020;331;10;197541;190815;4;690806 
4595226;391;9;197704;190817;9;690806 
4595073;268;26;197858;190869;5;690809 
4595304;301;29;198106;190822;6;690809 
4595415;429;27;197914;190844;9;690808 
4595578;605;29;197782;190999;7;690810 
4595304;397;34;197907;190922;6;690811 
4597057;328;35;199577;190962;12;690813 
4595726;324;58;198329;190900;10;690812 
4595622;350;34;198225;190887;9;690808 
4595303;344;39;197851;190872;4;690810 
4595274;312;35;197767;190910;7;690808 
4595098;306;48;197586;190863;5;690808 
4595064;466;5;197552;190789;6;690806 
4595211;467;21;197805;190766;12;690807 
4594995;372;9;197550;190777;4;690806 
4595315;548;13;197583;190869;4;690807 
4595343;495;35;197789;190844;6;690808 
4595196;327;31;198006;190840;5;690810 
4595545;452;27;197934;190877;8;690808 
4595633;352;44;198007;191235;6;690811 
4595465;458;59;197841;191067;5;690814 
4595082;422;49;197911;190711;7;690812 
4595007;346;38;197794;190829;7;690809 
4595397;300;31;197596;191610;6;690809 
4595101;359;52;197832;190852;4;690809 
4594972;537;28;197679;190709;4;690809 
4594873;256;8;197693;190724;4;690806 
4594952;383;8;197539;190758;7;690806 
4595225;260;17;197949;190766;6;690808 
4594817;277;11;197649;190768;6;690807 
4595262;500;27;197934;190829;7;690809 
4595639;534;22;197906;190900;12;690808 
4595187;363;53;197874;190816;5;690810 
4595727;493;76;198052;191181;7;690818 
4595405;474;29;198120;190792;6;690811 
4595927;610;37;198284;190853;9;690810 
4595810;602;52;197682;191230;5;690813 
4596516;363;21;197652;192190;3;690809 
4595343;509;35;197742;190866;6;690809 
4594877;345;27;197603;190780;4;690808 
4595215;303;19;197829;190848;4;690808 
4595015;408;16;197632;190758;6;690807 
4594898;259;8;197707;190730;10;690806 
4595127;237;8;197691;190828;6;690806 
4595309;317;16;198105;190767;11;690807 
4595501;347;53;197910;190956;14;690810 
4595210;335;26;197871;190799;5;690808 
4596400;324;46;198777;190956;5;690809 
4596697;396;31;199057;191045;6;690812 
4595897;507;50;197812;191174;6;690811 
4596063;506;46;198133;191073;8;690811 
4594445;345;31;197652;190705;7;690811 
4594905;384;48;197860;190692;8;690809 
4594992;463;48;197568;190772;4;690808 
4595420;336;28;197745;191017;4;690808 
4595036;218;5;197695;190808;15;690806 
4595051;289;17;197648;190807;5;690807 
4594939;254;9;197692;190755;8;690806 
4594888;222;9;197550;190834;5;690806 
4595086;324;39;197764;190844;7;690809 
4595488;380;27;198002;190914;7;690810 
4595370;408;37;197756;190849;6;690808 
4595463;346;35;197901;190928;8;690811 
4596452;348;48;198995;190980;7;690811 
4595694;360;34;198226;191047;10;690812 
4595379;481;38;197629;190995;6;690812 
4595629;555;22;197930;190869;7;690808 
4595526;370;51;197862;191073;5;690810 
4595242;324;16;197772;190941;6;690808 
4595073;263;9;197842;190750;7;690806 
4595147;415;12;197594;190881;15;690807 
4594953;310;17;197721;190765;6;690807 
4595596;901;5;197844;190716;18;690806 
4595455;534;52;198078;190838;9;690809 
4595170;477;52;197979;190742;9;690809 
4594928;383;26;197969;190690;5;690812 
4595164;473;27;197756;190836;8;690810 
4596178;462;49;197958;191703;6;690812 
4595403;455;41;197926;190950;7;690811 
4596651;517;37;198685;191116;8;690812 
4595151;296;33;197782;190904;5;690808 
4595137;294;35;197745;190868;5;690808 
4595692;457;26;197893;191016;6;690810 
4595546;476;33;197837;190925;6;690808 
4595299;443;9;197689;190810;11;690806 
4595118;378;9;197706;190781;6;690806 
4595108;326;17;197659;190829;7;690807 
4595705;446;29;197997;191067;16;690810 
4595453;423;50;197925;190868;15;690810 
4595243;424;25;197927;190790;9;690808 
4595475;448;34;198035;190941;5;690811 
4595610;463;32;198136;190877;9;690810 
4595381;320;47;197815;191019;6;690812 
4594966;358;28;197667;190845;3;690810 
4595790;516;28;198421;190843;7;690810 
4594804;392;36;197610;190711;5;690808 
4595270;450;21;197575;190958;5;690808 
4595290;263;12;197920;190851;7;690808 
4595100;323;13;197696;190841;8;690807 
4595153;366;9;197706;190781;17;690806 
4594864;202;10;197540;190798;4;690806 
4595253;329;17;197722;190863;11;690807 
4595544;507;25;197970;190897;10;690809 
4595651;365;35;197632;191655;5;690809 
4595395;440;23;197778;190935;8;690810 
4595237;516;32;197605;190913;4;690812 
4595685;376;47;198198;190959;7;690811 
4596676;491;35;199097;190902;9;690812 
4595465;371;21;197893;190857;6;690808 
4595223;383;31;197636;190930;5;690809 
4595509;572;29;197833;191139;14;690810 
4595537;329;21;197587;191320;3;690809 
4594988;228;9;197540;190834;3;690806 
4595293;443;16;197785;190830;7;690807 
4595360;334;15;197914;190799;6;690807 
4594633;193;5;197691;190672;4;690806 
4595076;328;40;197928;190720;10;690810 
4595297;406;43;198220;190801;6;690811 
4595240;445;26;197997;190790;8;690810 
4595397;414;38;197795;190962;4;690810 
4595471;491;43;197830;190998;6;690812 
4595644;535;64;197912;191048;7;690813 
4595220;515;24;197918;190807;6;690811 
